파워오투 애플키위맛	500	78	6	19	19	0	0	0	0	0				4005906404811	2	-1								
파워오투 아이스베리향	500	87.5	20	21	21	0	0	0	0	0				4005906405009	2	-1								
파워오투 오렌지 레몬향	500	89.3	6	21	21	0	0	0	0	0				4005906407835	2	-1								
홈런볼 티라미수	46	270	70	23	15	18	0	7	35	3.6												8801019313660	1	-1
홈런볼 그릭요거트 크림	46	260	100	24	15	17	0	6	45	3												8801019315732	1	-1
구운감자	27	130	210	19	2	6	0	2.9	0	0												8801019602498	1	-1
허니버터칩	60	350	210	30	3	24	0	8	0	3												8801019606557	1	-1
감자깡	75	370	470	54	3.9	15	0	4.9	0	4.4												8801043004688	1	-1
포테토칩 오리지널	40	235	170	21	1.2	16	0	5	0	2												8801043005821	1	-1
김치 큰사발면	112	480	1430	75	6	0	16	0	9	9	149	8801043015929	0	-1										
사리곰탕	111	495	1670	77	5	0	17	0	8	8	147	8801043015943	0	-1										
새우탕 큰사발면	115	505	1710	75	4	85	18	0	9	10	168	8801043015967	0	-1										
신라면 큰사발	114	500	1550	78	6	5mg 미만	17	0	8	9	150	8801043015981	0	-1										
육개장 큰사발	110	485	1610	75	4	5mg 미만	16	0	8	10	164	8801043016025	0	-1										
짜파게티	123	560	1270	85	8	0	20	0	9	10	136	8801043016049	0	-1										
튀김우동	110	490	1580	76	5	0	16	0	8	10		8801043016070	0	-1										
무파마 큰사발	112	515	1750	72	4	0	21	0	10	9	157	8801043016094	0	-1										
오징어짬뽕	115	515	1780	77	8	5mg 미만	19	0	10	9	145	8801043016117	0	-1										
너구리	111	515	1750	72	4	0	21	0	10	9	157	8801043017602	0	-1										
자갈치 문어맛	90	470	440	58	6	24	0.5g미만	8	0	5												8801043026840	1	-1
꿀꽈배기	90	450	230	63	21	21	0.5g미만	7	0	2.8												8801043036177	1	-1
알새우칩	68	345	510	46	8	17	0	6	5mg미만	1.4												8801043036399	1	-1
포스틱	84	390	530	63	3	13	0	4.5	0	4												8801043036436	1	-1
양파링	84	400	580	61	6	17	0	6	0	2.9											5	8801043036597	1	-1
바나나킥	75	315	100	66	37	4.6	0	1.7	0	3												8801043036634	1	-1
너구리 볶음 큰사발	110	515	1090	69	7	5mg 미만	22	0	9	10	146	8801043038577	0	-1										
신라면 블랙	101	445	1530	68	5	10	15	0	7	9	113	8801043041447	0	-1										
짜파구리	108	500	1230	74	9	5mg 미만	19	0	8	8	149	8801043056137	0	-1										
신라면 건면	77	285	1630	54	5	5mg 미만	4.4	0	1.4	7		8801043056489	0	-1										
새우깡 블랙	80	395	570	51	4.6	18	0.5g미만	7	16.5	7		202										8801043062183	1	-1
카구리 큰사발면	103	455	1550	73	5	5	15	0	8	7		8801043062480	0	-1										
신볶게티	107	480	1230	73	11	5mg 미만	17	0	8	8	127	8801043063913	0	-1										
진라면 순한맛	110	495	1490	72	3	0	18	0	10	11	120	8801045523996	0	-1										
순두부 진짬뽕 큰컵	115	475	1790	68	3	5	18	0	9	10		8801045555218	0	-1										
진짜장 컵라면	115	480	990	74	7	5	16	0	7	10	92	8801045560687	0	-1										
진라면 매운맛	110	500	1490	74	6	0	18	0	10	10		8801045570280	0	-1										
참깨 컵라면	110	505	1590	71	4	20	20	0	9	10	115.5	8801045570419	0	-1										
열라면	105	460	1520	69	3	0	16	0	8	10		8801045570716	0	-1										
콕콕콕 라면볶이 큰컵	120	455	900	77	12	0	13	0	7	8		8801045571386	0	-1										
콕콕콕 스파게티 큰컵	120	485	780	76	10	0	16	0	8	9		8801045571416	0	-1										
스낵면	90	425	1680	53	3	0	20	0	10	8	85	8801045572642	0	-1										
콕콕콕 치즈볶이	95	420	1180	66	4	2.8	14	0	7	8		8801045572802	0	-1										
볶음 진짬뽕	110	450	1000	67	8	10	16	0	7	9		8801045574035	0	-1										
진짬뽕 컵라면	115	485	1790	65	6	5	21	0	9	9	110.7	8801045574585	0	-1										
리얼 치즈 라면	120	480	1370	72	7	5	17	0	9	10		8801045574646	0	-1										
열려라참깨라면	110	500	1710	72	5	15	19	0	9	10	150	8801045720760	0	-1										
동원 보성홍차 아이스티 제로 복숭아	500	0	20	1	0	0	0	0	0	0				8801047284482	2	-1								
동원 보성홍차 아이스티 제로 레몬	500	0	40	1	0	0	0	0	0	0				8801047284499	2	-1								
칠성사이다	355	155	9	39	38	0	0	0	0	0				8801056040925	2	-1								
립톤 아이스티	500	30	5	8	8	0	0	0	0	0				8801056044354	2	-1								
게토레이 블루볼트	600	140	260	35	35	0	0	0	0	0				8801056052188	2	-1								
펩시	210	95	5	24	23	0	0	0	0	0				8801056054779	2	-1								
